lAltitude,lMeanDepth,lRettime,lAlkalinity,lColour,lTotalP,ltotalbio
5.3278762,2.62466859,-1.5171596,-0.97286108,3.7352858,4.0430513,13.137351
5.3278762,2.62466859,-1.5171596,-0.74654796,3.8242841,3.3672958,13.061479
5.3278762,2.62466859,-1.5171596,-0.59420723,3.9060049,4.0253517,13.338998
5.3278762,2.62466859,-1.5171596,-1.13943428,2.5257286,4.1588831,14.098737
3.7376696,0.40546511,-1.21966868,-0.13926207,2.944439,3.5553481,13.709235
3.7376696,0.40546511,-1.21966868,-0.05129329,3.1354942,3.2580965,13.700964
3.7376696,0.40546511,-1.21966868,-0.10536052,3.1780538,3.0445224,15.633184
3.7376696,0.40546511,-1.21966868,0,2.8903718,3.0445224,14.282639
3.2958369,2.61006979,0.96786293,0.94000726,2.9285235,4.0073332,16.798363
3.2958369,2.61006979,0.96786293,0.78845736,4.0018637,4.6728288,16.136145
3.2958369,2.61006979,0.96786293,0.85015093,3.2958369,4.2626799,14.961079
3.9512437,1.02961942,-0.66857165,0.66165651,3.6558396,3.2958369,15.264491
3.9512437,1.02961942,-0.66857165,0.61950064,4.3359827,2.944439,14.894333
4.2195077,1.79175947,-2.56711069,1.42791604,3.2958369,3.5553481,13.808873
4.2195077,1.79175947,-2.56711069,1.50851199,3.3672958,3.0445224,14.214422
3.8286414,1.48160454,0.31625277,1.03673688,2.6318888,3.7135721,15.321635
3.8286414,1.48160454,0.31625277,1.00795792,2.7536607,4.7273878,16.184389
2.0794415,-0.51082562,-3.16481387,0.54812141,3.1986731,4.668145,16.346236
3.4657359,0.18232156,-1.44212425,0.82417544,4.4402955,6.6669568,15.33584
5.1873858,-0.91629073,-0.96124887,-0.30110509,3.5409593,3.4965076,13.078445
5.1873858,-0.91629073,-0.96124887,-0.37106368,3.4812401,3.5409593,12.61892
5.1873858,-0.91629073,-0.96124887,-0.39551527,3.0285221,3.0122616,11.968247
2.0794415,0.78845736,-0.06233189,0.5988365,3.0910425,6.3377103,12.032731
2.0794415,0.78845736,-0.06233189,0.68309684,3.2386785,6.9246124,15.785124
2.0794415,0.78845736,-0.06233189,0.71294981,3.0445224,6.2822667,15.604775
2.1972246,0.40546511,-3.07282932,0.75141609,3.1780538,4.0775374,14.341036
2.1972246,0.40546511,-3.07282932,0.67803354,3.8815638,4.3944492,14.780951
2.1972246,0.40546511,-3.07282932,0.91629073,3.2958369,4.9972123,16.786884
4.3438054,0.53062825,-1.39847626,-3.68887945,4.2918284,5.4071718,15.85865
4.3438054,0.53062825,-1.39847626,-2.15416509,4.2312037,5.123964,17.812244
2.0794415,-0.51082562,-2.0288625,0.77010822,3.1354942,1.0986123,12.244947
2.0794415,-0.51082562,-2.0288625,0.72593716,3.5742166,4.0775374,14.586003
2.0794415,-0.51082562,-2.0288625,0.96317432,3.6506582,4.375757,13.887918
4.6539604,2.09186406,-2.77274874,-1.67664666,1.7917595,2.442347,15.176493
4.6539604,2.09186406,-2.77274874,-1.66600826,2.1972246,2.7725887,14.864221
