"Inscription","Line","Character","Rune","T1 Size","T1 Top","T1 Stave","T1 Angle","T1 Abs Angle","T1 Direction","T1 Position","T2 Size","T2 Top","T2 Stave","T2 Angle","T2 Abs Angle","T2 Direction","T2 Position"
"B000    ",1,5,"t   ",1.00780822743736,0,0,1.54754470398443,1.54754470398443,1,1,0,0,0,,,,
"B006    ",1,2,"e   ",0,0,0.46268805181385,,,,1,0,0,0,,,,
"B006    ",1,3,"n   ",0.20629627503363,0.32934023675625,0.3297382845925,-0.82241827927137,0.82241827927137,2,2,0,0,0,,,,
"B006    ",1,4,"a   ",0.16697324074435,0.45164334383577,0.45325316679896,0.86630226255267,0.86630226255267,1,1,0,0,0,,,,
"B006    ",1,5,"t   ",0.25806202311165,0,0,0.96850898065993,0.96850898065993,1,1,0,0,0,,,,
"B006    ",1,7,"t   ",0.21109199812025,0.12233724680078,0.12247587262066,1.08246237573849,1.08246237573849,1,1,0,0,0,,,,
"B006    ",1,9,"e   ",0,0,0.46466158627417,,,,1,0,0,0,,,,
"B006    ",1,10,"m   ",0.44176726841818,-0.006622371336811,0.39739746280463,-1.1540940660555,1.1540940660555,2,1,0.30209919598895,0,0.27151722480926,1.11695232527339,1.11695232527339,1,3
"B006    ",1,11,"a   ",0.24574682813861,0.42857142857142,0.42905706207405,0.72664234068172,0.72664234068172,1,1,0,0,0,,,,
"B006    ",1,13,"h   ",0.35386676186796,0.35971458434248,0.4207141339622,-0.4114562434137,0.4114562434137,2,1,0.36845386436456,0.25946625755851,0.38443478416917,0.8760580505982,0.8760580505982,1,1
"B006    ",1,15,"k(g)",0,0,0.42422106958287,,,,1,0,0,0,,,,
"B006    ",1,16,"t   ",0.09226890845507201,0.11731202863693,0.11997518818525,0.88187193858003,0.88187193858003,1,1,0,0,0,,,,
"B011    ",1,1,"f   ",0.34410979693488,0.012016835362522,0.3244545547881,1.13838855122436,1.13838855122436,1,3,0.52352595196673,0.036050506087566,0.48127388121158,1.01463009667444,1.01463009667444,1,3
"B011    ",1,2,"e   ",0,0,0.3832489484249,,,,1,0,0,0,,,,
"B011    ",1,3,"l   ",0.32824744274564,0,0,-1.17055566976092,1.17055566976092,2,2,0,0,0,,,,
"B011    ",1,4,"l   ",0.2528403873957,0,0,-1.12842210381815,1.12842210381815,2,2,0,0,0,,,,
"B011    ",1,5,"e   ",0,0,0.46317197025428,,,,1,0,0,0,,,,
"B011    ",1,6,"k(g)",0.46101459330963,0.02408939297512,0.4583319595177,1.22425746236095,1.22425746236095,1,3,0,0,0,,,,
"B011    ",1,7,"e   ",0,0,0.3513225435782,,,,1,0,0,0,,,,
"B011    ",1,9,"f   ",0.46269180931505,0,0.41687400572785,1.11864246450912,1.11864246450912,1,3,0.76696498884737,0.011891287353862,0.6804061204073501,1.05165021254837,1.05165021254837,1,3
"B011    ",1,14,"n   ",0.41265711290276,0.42496680076548,0.42496680076548,-0.95758897792038,0.95758897792038,2,2,0,0,0,,,,
"B011    ",1,16,"y   ",0.39522446448061,0.66661586721014,0.66673016054441,0.89605538457134,0.89605538457134,1,1,0.38029007680654,0.66661586721014,0.66673016054441,-0.94677327381814,0.94677327381814,2,2
"B011    ",1,17,"l   ",0.32253543462604,0,0,-1.04272187836854,1.04272187836854,2,2,0,0,0,,,,
"B011    ",1,18,"l   ",0.045854053585632,0,0,-1.03037682652431,1.03037682652431,2,2,0,0,0,,,,
"B011    ",1,1,"f   ",0.44986386910358,-0.012040330410464,0.4220990225139,1.29984947645648,1.29984947645648,1,3,0.65528606427768,-0.012040330410464,0.60309917674494,1.21417619084346,1.21417619084346,1,3
"B011    ",1,6,"k   ",0.61026443482507,0.022703830459324,0.60432291497758,1.24904577239825,1.24904577239825,1,3,0,0,0,,,,
"B011    ",1,7,"l   ",0.39600547037541,0,0,-0.702256931509,0.702256931509,2,2,0,0,0,,,,
"B011    ",1,9,"a   ",0.26032558687882,0.4666378627493,0.4667701109772,0.8760580505982,0.8760580505982,1,1,0,0,0,,,,
"B011    ",1,11,"m   ",0.5742483227811001,0,0.51145686168886,-1.09829939127783,1.09829939127783,2,1,0.61191103882173,0,0.56859947088937,1.19028994968253,1.19028994968253,1,3
"B016    ",1,1,"a   ",0.4705198800221,0.38855577891326,0.38901779546044,0.5991753229863001,0.5991753229863001,1,1,0,0,0,,,,
"B021    ",1,1,"m   ",0.40714436059008,0.037266361907285,0.41618738991333,-1.1959556114393,1.1959556114393,2,1,0.50478002154295,0.043477422225166,0.521729066702,1.24515474145161,1.24515474145161,1,3
"B021    ",1,3,"n   ",0.27684210310901,0.37402186750712,0.37494168904376,-1.02224692434437,1.02224692434437,2,2,0,0,0,,,,
"B021    ",1,4,"a   ",0.27732630791416,0.25710400670803,0.25754843920346,1.11934323524234,1.11934323524234,1,1,0,0,0,,,,
"B021    ",1,5,"n   ",0.25129986763494,0.3319004053307,0.3362694637032,-0.74194726800591,0.74194726800591,2,2,0,0,0,,,,
"B023    ",1,2,"f   ",0.4184330882996,0.07770107383626,0.46633856897827,1.19028994968253,1.19028994968253,1,3,0.6742829278073,0.13320184086216,0.7001020836638801,0.9964914966202,0.9964914966202,1,3
"B023    ",1,5,"a   ",0.11013708510212,0.5229920745663,0.52426336035042,0.1106572211739,0.1106572211739,1,1,0,0,0,,,,
"B026    ",1,1,"f   ",0.27984619923471,0.055410260860174,0.2784331148893,0.91409466467546,0.91409466467546,1,3,0.45582681552877,0.18008334779556,0.53439710404634,0.8786520785022201,0.8786520785022201,1,3
