"County";"State";"VotesTrump";"VotesClinton";"PercTrump";"PercClinton";"PercWhite";"HIncome"
"Carroll";"Arkansas";6773;3334;63.1;31.1;89.6;3.6584
"Carroll";"Georgia";29983;12422;68.5;28.4;75.6;4.6147
"Carroll";"Illinois";4428;2437;60.2;33.1;96.9;4.7985
"Carroll";"Indiana";6273;1891;72.9;22;96.8;5.0542
"Carroll";"Iowa";6627;3305;63.5;31.7;97.3;4.8361
"Carroll";"Kentucky";2588;1106;67.1;28.7;92.1;4.016
"Carroll";"Maryland";55593;24314;65.5;28.6;92.9;8.479
"Carroll";"Mississippi";3774;1648;69;30.1;65.6;3.1039
"Carroll";"Missouri";3480;745;79.8;17.1;96.6;4.6002
"Carroll";"New Hampshire";14635;12987;50.3;44.7;97.5;5.0866
"Carroll";"Ohio";9067;3124;70.8;24.4;97.8;4.3779
"Carroll";"Tennessee";7731;2323;74.8;22.5;86.8;3.5049
"Carroll";"Virginia";10653;2557;78.4;18.8;97.1;3.2853
"Carson";"Texas";2617;249;88.9;8.5;93.9;6.5026
"Carter";"Kentucky";7587;2276;73.8;22.2;97.8;3.6406
"Carter";"Missouri";2323;436;81.7;15.3;96.6;3.0962
"Carter";"Montana";677;70;87;9;97.8;3.9659
"Carter";"Oklahoma";13751;4002;74.2;21.6;74.4;4.1401
"Carter";"Tennessee";16897;3453;80.5;16.4;96.4;3.1842
"Carteret";"North Carolina";26228;9806;71;26.6;89.3;4.6534
"Carver";"Minnesota";29063;21514;52.7;39;92.8;8.3773
"Cascade";"Montana";19159;11961;57;35.6;89.2;4.4963
"Casey";"Kentucky";5482;767;85.1;11.9;97.2;2.9934
"Cass";"Illinois";3216;1617;63.6;32;86.3;4.5734
"Cass";"Indiana";9697;3758;68.6;26.6;88.2;4.194
"Cass";"Iowa";4755;1946;67.4;27.6;97.7;4.3481
"Cass";"Michigan";14241;7270;61.2;31.2;88.9;4.4346
"Cass";"Minnesota";9982;4949;62.8;31.2;85.9;4.5045
"Cass";"Missouri";33006;14816;65.1;29.2;91.7;6.035
"Cass";"Nebraska";8388;3461;66.5;27.4;96.9;6.4697
"Cass";"North Dakota";39738;31291;50.4;39.7;91.7;5.259
"Cass";"Texas";9182;2250;79.1;19.4;79;3.5598
"Cassia";"Idaho";5949;1036;72.7;12.7;81.8;4.2039
"Castro";"Texas";1413;526;70.8;26.4;68.6;3.6402
"Caswell";"North Carolina";5758;4549;54.8;43.3;62.5;3.5315
"Catahoula";"Louisiana";3479;1322;71.6;27.2;67.1;3.6165
"Catawba";"North Carolina";48062;21050;67.6;29.6;81.7;4.4332
"Catoosa";"Georgia";20860;4769;78.7;18;93.6;4.7087
"Catron";"New Mexico";1453;426;71.4;20.9;89.8;3.9826
"Cattaraugus";"New York";18668;8717;64.5;30.1;92.9;4.2603
"Cavalier";"North Dakota";1356;476;68.9;24.2;97.7;5.5904
"Cayuga";"New York";16194;12202;53.8;40.5;92.5;5.1581
"Cecil";"Maryland";27579;12651;65.2;29.9;89.2;6.6689
"Cedar";"Iowa";5275;3578;56.2;38.1;97.8;5.8088
"Cedar";"Missouri";5019;1010;79.9;16.1;96.9;3.0302
"Cedar";"Nebraska";3533;572;81;13.1;98.3;4.8038
"Centre";"Pennsylvania";35099;36555;46.6;48.5;89.4;5.0336
"Cerro Gordo";"Iowa";11583;9840;51.2;43.5;95;4.4795
"Chaffee";"Colorado";5283;4773;48;43.4;93.2;4.6504
"Chambers";"Alabama";7803;5763;56.6;41.8;58.8;3.2402
"Chambers";"Texas";13278;2939;79.7;17.6;78.6;7.2489
"Champaign";"Illinois";33235;49694;37.3;55.7;73.4;4.5808
"Champaign";"Ohio";12314;4488;70;25.5;94.7;4.9157
"Chariton";"Missouri";2948;888;74.4;22.4;96.7;3.9385
"Charles";"Maryland";24163;46063;33.3;63.6;50.3;9.316
"Charles Mix";"South Dakota";2382;935;69.4;27.2;65;4.0102
"Charleston";"South Carolina";75233;89048;42.8;50.6;64.2;5.0792
"Charlevoix";"Michigan";8674;5137;59.5;35.3;95.6;4.5949
"Charlotte";"Florida";60196;33421;62.5;34.7;90;4.4378
"Charlotte";"Virginia";3479;2153;60.1;37.2;67.3;3.3015
"Charlottesville";"Virginia";2951;17865;13.3;80.4;69.1;4.4601
"Charlton";"Georgia";2950;1004;73.6;25;68.6;4.0111
"Chase";"Kansas";964;313;71.8;23.3;95.4;3.6815
"Chase";"Nebraska";1621;171;87.6;9.2;91.9;4.561
"Chatham";"Georgia";43649;58998;41.2;55.7;52.8;4.5794
"Chatham";"North Carolina";17012;20953;43.5;53.6;76;5.7091
"Chattahoochee";"Georgia";746;593;53.9;42.8;68.8;4.8758
"Chattooga";"Georgia";6457;1612;78.3;19.5;83.9;3.3228
"Chautauqua";"Kansas";1552;236;84.1;12.8;90.8;3.9529
"Chautauqua";"New York";29042;17176;59.4;35.1;92.6;4.2429
"Chaves";"New Mexico";12869;5530;63.5;27.3;70.9;3.9131
"Cheatham";"Tennessee";11295;3877;71.4;24.5;95.6;5.2446
"Cheboygan";"Michigan";8680;4302;63.6;31.5;93.5;3.841
"Chelan";"Washington";8831;6528;54.7;40.5;79.3;5.1354
"Chemung";"New York";19025;12394;57.3;37.3;88.7;4.8804
"Chenango";"New York";11024;5943;60.9;32.8;96.9;4.3941
"Cherokee";"Alabama";8809;1524;83.9;14.5;92.7;3.4907
"Cherokee";"Georgia";80611;25203;72.7;22.7;86.6;6.7261
"Cherokee";"Iowa";4188;1676;67.7;27.1;96.6;4.8977
"Cherokee";"Kansas";6017;1959;71.8;23.4;90.3;3.9746
"Cherokee";"North Carolina";10711;2809;77.3;20.3;93.6;3.4432
"Cherokee";"Oklahoma";9992;5455;60.6;33.1;52.3;3.726
"Cherokee";"South Carolina";15165;6089;69.7;28;75;3.4202
"Cherokee";"Texas";12896;3466;77.2;20.8;71.7;3.8378
"Cherry";"Nebraska";2623;317;85.1;10.3;90.7;4.5464
"Chesapeake";"Virginia";53988;52554;48.3;47;62.6;6.9743
"Cheshire";"New Hampshire";16876;22064;41;53.7;96.3;5.5155
"Chester";"Pennsylvania";115582;140188;43.3;52.6;85.5;8.605
"Chester";"South Carolina";7272;6582;51.2;46.3;59.8;3.3103
"Chester";"Tennessee";3827;902;78.9;18.6;87.7;4.1875
"Chesterfield";"South Carolina";9576;7125;55.9;41.6;62.8;3.1252
"Chesterfield";"Virginia";84938;80993;48.5;46.2;68.3;7.2088
"Cheyenne";"Colorado";905;127;84.1;11.8;93.2;5.1641
"Cheyenne";"Kansas";1172;188;83.2;13.3;97.7;3.7875
"Cheyenne";"Nebraska";3610;702;79;15.4;94.1;5.1529
"Chickasaw";"Iowa";3739;2264;58.7;35.6;97.4;4.3971
"Chickasaw";"Mississippi";4127;3649;52.3;46.2;54;3.1061
"Chicot";"Arkansas";1716;2350;41.1;56.3;41.2;2.6201
"Childress";"Texas";1802;253;86.5;12.1;82;4.7532
"Chilton";"Alabama";15068;2909;82.5;15.9;84.1;4.125
"Chippewa";"Michigan";9120;5378;59.1;34.8;72.3;4.1637
"Chippewa";"Minnesota";3764;1978;60.9;32;93.5;4.9434
"Chippewa";"Wisconsin";17912;11875;56.9;37.7;95.3;5.0551
"Chisago";"Minnesota";18441;9279;61.5;30.9;95.8;6.7157
"Chittenden";"Vermont";18280;54424;23.7;70.5;92.5;6.3989
"Choctaw";"Alabama";4102;3109;56.4;42.8;55.8;3.3941
"Choctaw";"Mississippi";2757;1193;68.8;29.8;68.4;2.9876
"Choctaw";"Oklahoma";4202;1064;77.5;19.6;64.9;3.0201
"Chouteau";"Montana";1676;729;64.9;28.2;75.8;4.007
"Chowan";"North Carolina";3983;2965;56;41.7;62;3.442
"Christian";"Illinois";10522;3982;68.7;26;96.6;4.5145
"Christian";"Kentucky";14108;7188;63.9;32.5;71.5;3.8904
"Christian";"Missouri";30941;8505;74.7;20.5;95.7;5.2838
"Churchill";"Nevada";7828;2210;71.6;20.2;82;4.983
"Cibola";"New Mexico";3179;3721;39.7;46.4;41.8;3.7237
"Cimarron";"Oklahoma";962;70;89.3;6.5;84.7;3.8301
"Citrus";"Florida";54377;22765;68.3;28.6;93;3.91
"Clackamas";"Oregon";79062;90187;43.4;49.5;88.2;6.4352
"Claiborne";"Louisiana";3585;2717;55.8;42.3;47.5;3.2996
"Claiborne";"Mississippi";414;2523;14;85.4;14.2;2.3689
"Claiborne";"Tennessee";8589;1831;80.2;17.1;96.9;3.3229
"Clallam";"Washington";12012;12331;46.6;47.8;87;4.6033
"Clare";"Michigan";8507;4250;63.6;31.8;96.8;3.2668
"Clarendon";"South Carolina";7246;7635;47.8;50.4;47;3.141
"Clarion";"Pennsylvania";12545;4256;71.8;24.3;97.2;4.2389
"Clark";"Arkansas";4398;3606;51.7;42.4;71.8;3.2721
"Clark";"Idaho";203;44;71.7;15.5;72.4;3.32
"Clark";"Illinois";5620;1873;71.9;24;98.1;4.7405
"Clark";"Indiana";30012;18791;58.7;36.8;87.1;5.0496
"Clark";"Kansas";813;118;82.7;12;92.4;4.1129
"Clark";"Kentucky";10710;4706;66.1;29;92.2;4.5853
"Clark";"Missouri";2458;724;74.1;21.8;98.2;4.0204
"Clark";"Nevada";319571;401068;41.8;52.4;60.9;5.2873
"Clark";"Ohio";34311;22666;57.5;38;86.3;4.3136
"Clark";"South Dakota";1139;398;68.7;24;98.1;4.9055
"Clark";"Washington";74136;77270;45.7;47.7;85.4;5.8225
"Clark";"Wisconsin";8645;4225;63.8;31.2;96.1;4.3276
"Clarke";"Alabama";7109;5712;55;44.2;54.5;2.9357
"Clarke";"Georgia";12691;29514;28.7;66.7;61.9;3.306
"Clarke";"Iowa";2706;1463;61.4;33.2;94.3;4.3216
"Clarke";"Mississippi";5088;2556;66;33.1;64.2;3.1362
"Clarke";"Virginia";4657;3047;57.3;37.5;90.2;7.7597
"Clatsop";"Oregon";7794;8899;42.9;49;90.9;4.4683
"Clay";"Alabama";5230;1234;79.6;18.8;81.7;3.4002
"Clay";"Arkansas";3779;1999;63;33.3;97.5;3.1502
"Clay";"Florida";74898;27768;70.4;26.1;81.8;5.9482
"Clay";"Georgia";566;697;44.5;54.8;37.6;2.1192
"Clay";"Illinois";5009;1014;79.8;16.2;97.7;4.064
"Clay";"Indiana";8528;2306;75.7;20.5;97.8;4.643
"Clay";"Iowa";5870;2246;68.7;26.3;96.5;4.9035
"Clay";"Kansas";2831;665;76;17.8;97.3;4.5233
"Clay";"Kentucky";5861;752;86.6;11.1;94.2;2.1883
"Clay";"Minnesota";13526;12952;46.5;44.6;92.7;5.241
"Clay";"Mississippi";4136;5695;41.5;57.2;40.5;3.0764
"Clay";"Missouri";57328;45182;52.5;41.4;87.5;6.0936
"Clay";"Nebraska";2373;470;79.8;15.8;93;4.6784
"Clay";"North Carolina";4395;1352;74.7;23;96.6;3.8828
"Clay";"South Dakota";2109;2608;41.6;51.4;91.1;3.8173
"Clay";"Tennessee";2140;707;73.3;24.2;96.5;2.9727
"Clay";"Texas";4376;536;87.3;10.7;95.1;5.3776
"Clay";"West Virginia";2289;566;77.4;19.1;98.8;3.1613
"Clayton";"Georgia";11740;75908;13.2;85.1;18.9;4.0606
"Clayton";"Iowa";5309;3236;58.4;35.6;97.8;4.7494
"Clear Creek";"Colorado";2426;2585;43.9;46.7;95.3;6.7259
"Clearfield";"Pennsylvania";23909;7700;73.1;23.6;95.4;4.103
"Clearwater";"Idaho";2852;704;75;18.5;93.9;4.0134
"Clearwater";"Minnesota";2925;1100;69.2;26;87.2;4.3269
"Cleburne";"Alabama";5738;684;87.8;10.5;94;3.8019
"Cleburne";"Arkansas";9454;2101;78.3;17.4;96.8;4.0246
"Clermont";"Ohio";65960;26096;68.4;27.1;95.9;6.0365
"Cleveland";"Arkansas";2460;723;73.4;21.6;85.8;3.942
"Cleveland";"North Carolina";28394;14896;64.3;33.7;75.6;3.8989
"Cleveland";"Oklahoma";62469;38790;57.1;35.5;79.3;5.4989
"Clinch";"Georgia";1724;685;70.6;28;67.4;3.0345
"Clinton";"Illinois";12394;3939;71.8;22.8;93.4;6.172
"Clinton";"Indiana";8530;2819;71.7;23.7;91;4.8953
"Clinton";"Iowa";11249;10079;49.5;44.3;94;4.9559
"Clinton";"Kentucky";3809;547;85.4;12.3;96.7;2.71
"Clinton";"Michigan";21635;16490;53.3;40.7;92.9;6.0466
"Clinton";"Missouri";7058;2572;69.2;25.2;95.5;5.3826
"Clinton";"New York";13181;13446;46.4;47.4;92.5;5.0282
"Clinton";"Ohio";13466;3943;74.4;21.8;94.7;4.6048
"Clinton";"Pennsylvania";9701;4533;65.4;30.5;96.5;4.2184
"Cloud";"Kansas";2856;744;74.5;19.4;96.4;3.8534
"Coahoma";"Mississippi";2094;5954;25.7;73.1;22.9;2.6407
"Coal";"Oklahoma";1892;411;79.1;17.2;74.3;3.4867
"Cobb";"Georgia";152602;159416;46.7;48.8;62.2;6.392
"Cochise";"Arizona";25036;15291;58;35.4;78.5;4.5755
"Cochran";"Texas";679;190;75.4;21.1;73.2;3.865
"Cocke";"Tennessee";9791;1980;80.9;16.4;95.1;3.0573
"Coconino";"Arizona";16573;25308;36.9;56.3;61.7;4.9555
"Codington";"South Dakota";7764;3174;66.5;27.2;95.3;4.7214
"Coffee";"Alabama";15825;4194;77.1;20.4;74.7;4.3768
"Coffee";"Georgia";9575;4090;68.9;29.4;64.7;3.5693
"Coffee";"Tennessee";14409;4741;72.4;23.8;92;3.7618
"Coffey";"Kansas";2990;719;75.5;18.1;96.5;5.1793
"Coke";"Texas";1265;140;88.9;9.8;91.4;4.0795
"Colbert";"Alabama";16718;7296;67.9;29.6;80.5;3.9077
"Cole";"Missouri";24610;10907;66;29.3;84.4;5.3931
"Coleman";"Texas";3177;387;87.4;10.6;88.2;3.1373
"Coles";"Illinois";12985;7285;60.2;33.8;92.9;3.704
"Colfax";"Nebraska";2171;857;68.4;27;72.6;5.1765
"Colfax";"New Mexico";2569;2118;48.5;39.9;83.8;3.7734
"Colleton";"South Carolina";9083;7616;52.7;44.2;57;3.3233
"Collier";"Florida";105297;60941;61.8;35.7;83.9;5.5843
"Collin";"Texas";200395;139837;56.2;39.2;71.6;8.2762
"Collingsworth";"Texas";983;145;85.2;12.6;76.5;4.1576
"Colonial Heights";"Virginia";5681;2367;67.4;28.1;82.3;5.0835
"Colorado";"Texas";6323;1977;74.6;23.3;75.1;4.5146
"Colquitt";"Georgia";9892;3460;72.8;25.5;64.7;3.2484
"Columbia";"Arkansas";5456;3140;61.4;35.3;59.9;3.5128
"Columbia";"Florida";20359;7599;70.9;26.5;77.9;3.807
"Columbia";"Georgia";43060;18863;67.1;29.4;76.5;6.9306
"Columbia";"New York";12756;13123;46.8;48.1;90.6;5.7336
"Columbia";"Oregon";12967;9959;51.7;39.7;92.5;5.4968
"Columbia";"Pennsylvania";17387;8502;64.1;31.3;95.4;4.4807
"Columbia";"Washington";1359;482;69;24.5;93;4.2519
"Columbia";"Wisconsin";14160;13525;48.3;46.2;95.8;5.7922
"Columbiana";"Ohio";31086;12273;68.7;27.1;95.5;4.23
"Columbus";"North Carolina";14177;8991;60.4;38.3;61.5;3.5761
"Colusa";"California";2709;1832;56.4;38.2;64.7;5.2158
"Comal";"Texas";44996;14166;73.1;23;89.5;6.5839
"Comanche";"Kansas";705;102;82.3;11.9;96.5;3.9375
"Comanche";"Oklahoma";19153;11439;58.9;35.2;64.5;4.6036
"Comanche";"Texas";4300;788;82.6;15.1;88.9;3.602
"Concho";"Texas";885;148;82.9;13.9;86.9;5.1411
"Concordia";"Louisiana";5474;3272;61.7;36.9;57.4;2.9022
"Conecuh";"Alabama";3413;3069;52.2;46.9;51.3;2.4658
"Conejos";"Colorado";1885;1753;47.5;44.2;76.2;3.4526
"Contra Costa";"California";76743;201936;26.1;68.7;58.6;7.8756
"Converse";"Wyoming";5520;668;84.2;10.2;95.1;6.3918
"Conway";"Arkansas";4844;2655;61.2;33.5;84.2;3.5225
"Cook";"Georgia";4175;1752;69.1;29;67;3.4985
"Cook";"Illinois";440213;1528582;21.4;74.4;55.4;5.4548
"Cook";"Minnesota";1156;1912;34.4;56.9;88.1;5.2215
"Cooke";"Texas";13174;2345;82.9;14.8;85.7;5.0067
"Cooper";"Missouri";5623;1932;70.5;24.2;90.4;4.5992
"Coos";"New Hampshire";7951;6558;52.1;42.9;96.9;4.1985
"Coos";"Oregon";17699;10355;58.6;34.3;89.8;3.794
"Coosa";"Alabama";3376;1780;64.6;34.1;66.3;3.7277
"Copiah";"Mississippi";5576;6203;46.8;52.1;46.3;3.5421
"Corson";"South Dakota";588;535;50;45.5;29.7;3.088
"Cortland";"New York";9207;7976;50;43.3;95.1;4.7151
"Coryell";"Texas";12212;5057;67.4;27.9;70.3;4.9819
"Coshocton";"Ohio";10381;3908;69.4;26.1;97;4.1274
"Costilla";"Colorado";581;1109;31.9;60.9;68;2.9145
"Cottle";"Texas";486;84;83.4;14.4;80.5;3.4639
"Cotton";"Oklahoma";2054;424;78.9;16.3;81.3;4.6317
"Cottonwood";"Minnesota";3679;1678;64.6;29.5;92.2;4.5294
"Covington";"Alabama";13222;2379;83.6;15;84.8;3.5869
"Covington";"Mississippi";5423;3267;61.7;37.2;63;3.3381
"Covington";"Virginia";1349;914;56.9;38.6;84.1;3.4319
"Coweta";"Georgia";42513;16572;69.3;27;75.9;6.0813
"Cowley";"Kansas";8016;3436;65.9;28.2;86.2;4.1878
"Cowlitz";"Washington";12887;10511;52;42.4;88.9;4.7596
"Craig";"Oklahoma";4279;1249;74.1;21.6;66.7;3.9236
"Craig";"Virginia";2139;541;76.8;19.4;98.7;4.7806
"Craighead";"Arkansas";22798;10474;64.4;29.6;81.2;4.1393
"Crane";"Texas";1047;299;75.8;21.7;74.1;5.0417
"Craven";"North Carolina";27556;17481;59.6;37.8;70;4.7141
"Crawford";"Arkansas";16655;4476;74.3;20;89.1;3.9479
"Crawford";"Georgia";3632;1419;70.4;27.5;74.6;4.1586
"Crawford";"Illinois";6146;1969;72.2;23.1;92.8;4.6216
"Crawford";"Indiana";3013;1323;65.6;28.8;97.4;3.97
"Crawford";"Iowa";4608;1985;67.2;28.9;82.9;4.6548
"Crawford";"Kansas";8394;5064;58.3;35.2;91.2;3.7378
"Crawford";"Michigan";4354;2110;63.7;30.9;97.5;4.0295
"Crawford";"Missouri";7724;1824;77.9;18.4;97.3;3.5897
"Crawford";"Ohio";13265;4518;70.9;24.2;97.2;4.0783
"Crawford";"Pennsylvania";23912;10215;67.2;28.7;96.3;4.2504
"Crawford";"Wisconsin";3844;3426;50.1;44.6;96.6;4.2235
"Creek";"Oklahoma";21539;5834;74.8;20.3;79.7;4.3026
"Crenshaw";"Alabama";4511;1663;72.2;26.6;72.6;3.6275
"Crisp";"Georgia";4539;2835;60.5;37.8;53.3;3.524
"Crittenden";"Arkansas";6953;8368;43.7;52.6;46.1;3.7751
"Crittenden";"Kentucky";3290;617;81.5;15.3;97.7;3.4261
"Crockett";"Tennessee";3977;1302;73.8;24.2;78.7;3.6066
"Crockett";"Texas";980;372;70.3;26.7;83.1;5.0475
"Crook";"Oregon";8388;2591;72.1;22.3;92.7;3.8795
"Crook";"Wyoming";3347;271;88.8;7.2;97.2;5.3237
"Crosby";"Texas";1180;468;68.9;27.3;79;3.8187
"Cross";"Arkansas";4577;1995;66.7;29.1;75.5;3.8085
"Crow Wing";"Minnesota";22287;10982;62.7;30.9;96.6;4.7058
"Crowley";"Colorado";1069;336;70.7;22.2;77.4;3.1477
"Culberson";"Texas";280;454;36.7;59.6;78.9;3.7105
"Cullman";"Alabama";32734;3730;87.8;10;94.7;3.8847
"Culpeper";"Virginia";13341;7744;60.4;35.1;75.1;6.4423
"Cumberland";"Illinois";4200;1028;76.2;18.6;98.3;4.3958
"Cumberland";"Kentucky";2502;459;81.6;15;95.4;3.1593
"Cumberland";"Maine";56830;101235;33.7;60.1;92.8;5.7461
"Cumberland";"New Jersey";23363;26090;45.7;51;62.7;5.075
"Cumberland";"North Carolina";50593;70523;40.7;56.7;51.4;4.5231
"Cumberland";"Pennsylvania";65649;44282;57.1;38.5;90.9;6.0826
"Cumberland";"Tennessee";20410;5202;77.6;19.8;96.8;3.7188
"Cumberland";"Virginia";2693;2032;55.2;41.7;63.9;4.0557
"Cuming";"Nebraska";3095;712;77.6;17.9;93.2;4.75
"Currituck";"North Carolina";9070;2879;73;23.2;90.3;5.7159
"Curry";"New Mexico";7560;2776;66.4;24.4;69.7;3.9871
"Curry";"Oregon";7157;4253;58.8;35;92;3.9516
"Custer";"Colorado";2059;797;67.2;26;95.3;3.2427
"Custer";"Idaho";1777;427;73.6;17.7;96.4;3.9541
"Custer";"Montana";3638;1172;70.5;22.7;95.5;4.3524
"Custer";"Nebraska";4616;635;84.1;11.6;97.5;4.4873
"Custer";"Oklahoma";7818;2102;74.2;20;78.1;4.4972
"Custer";"South Dakota";3290;1120;69.8;23.7;94.2;5.0074
"Cuyahoga";"Ohio";179894;383974;30.8;65.8;63.6;4.3804
"Dade";"Georgia";5047;965;80.9;15.5;96;4.3205
"Dade";"Missouri";3184;637;80.6;16.1;96;3.5483
"Daggett";"Utah";327;76;70.3;16.3;95.9;4.6917
"Dakota";"Minnesota";97919;107665;43.7;48;85.2;7.3732
"Dakota";"Nebraska";4028;2904;55.5;40;70.5;4.7069
"Dale";"Alabama";13798;4408;74.1;23.7;74.1;4.4889
"Dallam";"Texas";1258;222;82;14.5;80.1;4.0895
"Dallas";"Alabama";5784;12826;30.9;68.5;29.1;2.6519
"Dallas";"Arkansas";1507;1165;54.4;42.1;55.2;2.8931
"Dallas";"Iowa";19288;15662;51.3;41.6;92.2;7.3847
"Dallas";"Missouri";5895;1271;79.2;17.1;96.5;4.012
"Dallas";"Texas";261865;458845;34.9;61.1;53.5;4.9481
"Dane";"Wisconsin";71270;217506;23.4;71.4;84.7;6.1721
"Daniels";"Montana";729;167;76.6;17.5;95.7;4.61
"Danville";"Virginia";7306;11051;38.7;58.6;47.7;3.0786
"Dare";"North Carolina";11283;7079;59.4;37.2;92.3;5.5481
"Darke";"Ohio";19698;4395;78.8;17.6;97.8;4.3425
"Darlington";"South Carolina";14973;13866;50.5;46.8;55.9;3.6323
"Dauphin";"Pennsylvania";60620;64287;46.6;49.4;72.7;5.4066
"Davidson";"North Carolina";52870;17328;73.4;24.1;84.3;4.3083
"Davidson";"Tennessee";84365;148473;34.3;60.3;61.4;4.7335
"Davie";"North Carolina";15502;5228;72.6;24.5;87.5;5.0139
"Daviess";"Indiana";8545;1800;79.6;16.8;95;4.7165
"Daviess";"Kentucky";28907;14163;63.1;30.9;91.2;4.6555
"Daviess";"Missouri";2763;730;74.9;19.8;98;4.2393
"Davis";"Iowa";2721;976;70.5;25.3;98.4;4.504
"Davis";"Utah";39047;19458;44.9;22.4;90;6.9707
"Davison";"South Dakota";5157;2355;64.9;29.6;94.4;4.8341
"Dawes";"Nebraska";2559;785;71.5;21.9;89.4;4.0359
"Dawson";"Georgia";9880;1444;84.6;12.4;95.6;5.3525
"Dawson";"Montana";3298;786;76.6;18.3;95.7;5.0405
"Dawson";"Nebraska";5935;2116;69.9;24.9;78;4.6078
"Dawson";"Texas";2636;835;74;23.4;76.7;3.9714
"Day";"South Dakota";1627;974;59.2;35.5;88.1;3.9761
"De Baca";"New Mexico";617;192;68.2;21.2;87.3;3.766
"Deaf Smith";"Texas";2911;1185;69.3;28.2;77.8;4.1444
"Dearborn";"Indiana";18110;4883;75.7;20.4;97.5;5.6946
"Decatur";"Georgia";6009;4104;58.7;40.1;54.2;3.0619
"Decatur";"Indiana";8488;2121;76.5;19.1;97.3;4.8047
"Decatur";"Iowa";2296;1201;62;32.4;95.4;3.6326
"Decatur";"Kansas";1220;178;83.6;12.2;97.4;3.9333
"Decatur";"Tennessee";3580;894;78.2;19.5;94.7;3.6258
"Deer Lodge";"Montana";1736;2018;42.1;49;93.1;3.8958
"Defiance";"Ohio";11478;5282;64.5;29.7;92.8;4.7593
"DeKalb";"Alabama";21779;3682;83.5;14.1;84.5;3.7851
"DeKalb";"Georgia";47531;239131;16.1;80.8;33.3;5.0856
"DeKalb";"Illinois";19051;20348;44.7;47.8;85.1;5.3375
"DeKalb";"Indiana";12054;3941;71.7;23.4;96.9;4.7247
"DeKalb";"Missouri";3540;824;77.1;18;86.9;4.4092
"DeKalb";"Tennessee";5164;1566;74.4;22.6;92.7;3.7482
"Del Norte";"California";4370;2997;55;37.7;73.7;3.7909
"Delaware";"Indiana";24217;18100;54.2;40.5;89.1;3.7474
"Delaware";"Iowa";5688;2956;62.1;32.3;98.6;5.4076
"Delaware";"New York";11012;5825;61.9;32.8;95.2;4.447
"Delaware";"Ohio";55660;39584;55.6;39.5;89.7;8.9757
"Delaware";"Oklahoma";11796;3306;75.2;21.1;67;3.6588
"Delaware";"Pennsylvania";106559;169169;37.4;59.4;72.5;6.4041
"Delta";"Colorado";11584;4048;69.5;24.3;89.7;4.2078
"Delta";"Michigan";11112;6431;60.2;34.8;94.7;4.2676
"Delta";"Texas";1836;400;80.6;17.6;85.3;4.0375
"Dent";"Missouri";5599;978;82.6;14.4;96.6;3.6311
"Denton";"Texas";169175;110000;57.7;37.5;75;7.4155
"Denver";"Colorado";38366;154599;18.8;75.6;68.9;5.0313
"Des Moines";"Iowa";9479;8178;50.7;43.7;91;4.2451
"Deschutes";"Oregon";43667;40222;48.2;44.4;92.2;5.0209
"Desha";"Arkansas";1915;2227;45;52.4;47.9;2.868
"DeSoto";"Florida";6744;3761;62.7;35;66.2;3.4963
"DeSoto";"Mississippi";42155;19892;65.8;31.1;72.2;5.8505
"Deuel";"Nebraska";809;120;82.8;12.3;97;4.4922
"Deuel";"South Dakota";1366;570;65.7;27.4;97.5;5.1632
"Dewey";"Oklahoma";1964;222;87.4;9.9;89.1;4.6488
"Dewey";"South Dakota";723;887;42.4;52;21;3.071
"DeWitt";"Texas";5510;1161;80.8;17;75.7;4.6454
"Dickens";"Texas";755;128;83.1;14.1;84;3.8401
"Dickenson";"Virginia";4932;1335;77;20.8;98.8;3.3318
"Dickey";"North Dakota";1656;551;69.8;23.2;96.5;4.7359
"Dickinson";"Iowa";6743;3051;65.8;29.8;98.3;5.6136
"Dickinson";"Kansas";5905;1582;73.7;19.8;95.1;4.889
"Dickinson";"Michigan";8580;3923;65.3;29.9;97.2;4.4136
"Dickson";"Tennessee";13213;4718;71;25.3;91.8;4.4318
"Dillon";"South Carolina";5637;5832;48.2;49.9;48;2.8817
"Dimmit";"Texas";974;2173;30.2;67.4;88.6;3.6681
"Dinwiddie";"Virginia";7447;5765;55;42.6;63.9;5.2027
"Divide";"North Dakota";860;243;72.5;20.5;98;5.5057
"Dixie";"Florida";5822;1270;80.8;17.6;88.8;3.3981
"Dixon";"Nebraska";2041;556;74.4;20.3;92.5;4.7325
"Doddridge";"West Virginia";2347;360;83.1;12.7;97;3.4817
"Dodge";"Georgia";5021;1836;71.8;26.2;66.8;3.7292
"Dodge";"Minnesota";6527;3102;61.8;29.4;96.1;6.9301
"Dodge";"Nebraska";9736;4451;65.1;29.8;90.9;4.8626
"Dodge";"Wisconsin";26643;13968;62.2;32.6;93.8;5.3075
"Dolores";"Colorado";936;227;76.1;18.5;93;3.775
"Doniphan";"Kansas";2601;584;77.3;17.3;93.1;4.6512
"Donley";"Texas";1225;190;83.9;13;89.9;4.2411
"Dooly";"Georgia";1941;1860;50.6;48.5;45.6;2.9012
"Door";"Wisconsin";8584;8026;49.3;46.1;96.6;5.0438
"Dorchester";"Maryland";7938;5695;56.6;40.6;67.6;4.6361
"Dorchester";"South Carolina";34932;24010;55.9;38.4;67.8;5.3857
"Dougherty";"Georgia";10227;23224;30.1;68.5;29.6;3.1671
