"County";"State";"VotesTrump";"VotesClinton";"PercTrump";"PercClinton";"PercWhite";"HIncome"
"Arlington";"Virginia";20155;91879;16.9;77;71.7;10.3208
"Armstrong";"Pennsylvania";22676;6849;74.5;22.5;98;4.5241
"Armstrong";"Texas";924;70;90.9;6.9;93.3;6.1635
"Aroostook";"Maine";18999;13182;55.4;38.4;95.7;3.7855
"Arthur";"Nebraska";237;16;90.1;6.1;95.4;4.0568
"Ascension";"Louisiana";36135;16471;66.1;30.1;73.3;6.907
"Ashe";"North Carolina";9353;3476;71.1;26.4;95.5;3.5951
"Ashland";"Ohio";17169;5659;71.3;23.5;97.3;4.6548
"Ashland";"Wisconsin";3428;4136;43.3;52.2;84.6;3.855
"Ashley";"Arkansas";5338;2408;66;29.8;69.3;3.5683
"Ashtabula";"Ohio";22755;15191;57.2;38.2;92.7;4.0516
"Asotin";"Washington";4998;2768;59.2;32.8;94.3;4.3175
"Assumption";"Louisiana";6714;3931;61.6;36.1;66.8;4.6116
"Atascosa";"Texas";8598;4635;63.2;34.1;84.9;4.7543
"Atchison";"Kansas";3977;1946;62.2;30.4;91;4.5212
"Atchison";"Missouri";2059;541;75.6;19.9;98.5;4.4426
"Athens";"Ohio";10816;15552;38.7;55.7;91.8;3.3823
"Atkinson";"Georgia";1873;696;71.9;26.7;62.2;3.0049
"Atlantic";"New Jersey";47741;54175;45.3;51.5;65.4;5.4235
"Atoka";"Oklahoma";4068;795;81.3;15.9;73.8;3.7012
"Attala";"Mississippi";4288;2847;59.2;39.3;56.2;3.1641
"Audrain";"Missouri";6981;2567;69.5;25.6;89.8;4.3013
"Audubon";"Iowa";2135;1079;63.2;31.9;98.6;4.8313
"Auglaize";"Ohio";18130;3825;79.3;16.7;97.8;5.2239
"Augusta";"Virginia";26152;8108;71.3;22.1;93.4;5.2027
"Aurora";"South Dakota";974;340;69.2;24.2;95.1;4.6667
"Austin";"Texas";9637;2319;78.6;18.9;78.8;5.3265
"Autauga";"Alabama";18110;5908;73.4;24;78.5;5.3682
"Avery";"North Carolina";6226;1670;77.2;20.7;91.9;3.6969
"Avoyelles";"Louisiana";11163;5032;67.3;30.3;67;3.3942
"Baca";"Colorado";1716;278;81.4;13.2;92.6;3.8829
"Bacon";"Georgia";3356;607;83.7;15.1;78.6;3.3757
"Bailey";"Texas";1343;397;75.3;22.3;75.3;4.6139
"Baker";"Florida";10294;2112;81.5;16.7;83.7;4.9236
"Baker";"Georgia";775;650;53.8;45.1;48.5;2.7353
"Baker";"Oregon";6160;1781;72.7;21;94.6;4.15
"Baldwin";"Alabama";72780;18409;77.4;19.6;85.7;5.0221
"Baldwin";"Georgia";7691;7965;47.8;49.5;54.9;3.2751
"Ballard";"Kentucky";3161;816;77.1;19.9;94.7;4.4588
"Baltimore";"Maryland";131009;189437;39.1;56.5;64.6;6.6486
"Baltimore";"Maryland";131009;189437;39.1;56.5;64.6;4.1385
"Baltimore";"Maryland";131009;189437;39.1;56.5;64.6;6.6486
"Baltimore";"Maryland";131009;189437;39.1;56.5;64.6;4.1385
"Baltimore";"Maryland";22726;178562;10.9;85.4;64.6;6.6486
"Baltimore";"Maryland";22726;178562;10.9;85.4;64.6;4.1385
"Baltimore";"Maryland";22726;178562;10.9;85.4;64.6;6.6486
"Baltimore";"Maryland";22726;178562;10.9;85.4;64.6;4.1385
"Bamberg";"South Carolina";2197;3886;35.5;62.7;36.1;3.1483
"Bandera";"Texas";8159;1726;79.9;16.9;92.8;4.9215
"Banks";"Georgia";6130;684;88.3;9.8;91.7;4.1141
"Banner";"Nebraska";355;18;91;4.6;95.7;3.6875
"Bannock";"Idaho";17180;10342;51.4;31;89.8;4.3534
"Baraga";"Michigan";2158;1156;61.9;33.2;75;4.1189
"Barber";"Kansas";1822;281;82.5;12.7;96.1;4.592
"Barbour";"Alabama";5431;4848;52.3;46.7;48;3.2911
"Barbour";"West Virginia";4509;1213;74.9;20.1;96.8;3.7327
"Barnes";"North Dakota";3156;1597;60.1;30.4;96.4;5.0274
"Barnstable";"Massachusetts";53842;71632;40.6;54;92.7;6.0526
"Barnwell";"South Carolina";4888;4395;51.6;46.4;52.6;3.5231
"Barren";"Kentucky";13483;4275;72.9;23.1;92.5;3.8873
"Barron";"Wisconsin";13595;7881;60.4;35;96.1;4.4054
"Barrow";"Georgia";21105;6580;73.2;22.8;78.8;5.3274
"Barry";"Michigan";19197;9109;63.4;30.1;96.9;5.2186
"Barry";"Missouri";11427;2710;78.2;18.6;92.1;3.871
"Bartholomew";"Indiana";20637;9841;63.7;30.4;89.6;5.4165
"Barton";"Kansas";7766;1823;77;18.1;88.8;4.4981
"Barton";"Missouri";4958;795;83.6;13.4;95;4.058
"Bartow";"Georgia";29879;8204;76.1;20.9;82.7;4.7197
"Bastrop";"Texas";16314;10555;57.7;37.4;73.8;5.175
"Bates";"Missouri";6000;1617;74.8;20.2;96.6;3.8579
"Bath";"Kentucky";3082;1361;67.2;29.7;96.4;3.0797
"Bath";"Virginia";1548;603;69;26.9;93.7;5.1365
"Baxter";"Arkansas";14655;4163;74.3;21.1;96.9;3.5343
"Bay";"Florida";62010;21689;71.2;24.9;82.2;4.7461
"Bay";"Michigan";28327;21641;53.5;40.9;94.1;4.5376
"Bayfield";"Wisconsin";4125;4953;43.5;52.2;86.7;4.4944
"Baylor";"Texas";1267;191;84.9;12.8;91.5;3.3445
"Beadle";"South Dakota";4455;1912;65.8;28.2;89.7;4.2196
"Bear Lake";"Idaho";2203;255;75.2;8.7;96.3;4.4964
"Beaufort";"North Carolina";14478;8699;61.4;36.9;68.2;4.0429
"Beaufort";"South Carolina";39986;29577;54.9;40.6;71.9;5.7316
"Beauregard";"Louisiana";12238;2393;81.2;15.9;82.2;4.6385
"Beaver";"Oklahoma";1987;176;88.8;7.9;82.8;5.1422
"Beaver";"Pennsylvania";46081;30225;58.3;38.2;91.2;4.9217
"Beaver";"Utah";1800;258;74;10.6;89;4.666
"Beaverhead";"Montana";3243;1115;69.1;23.8;94.8;4.1614
"Becker";"Minnesota";10880;5208;63.7;30.5;88.4;5.0214
"Beckham";"Oklahoma";6287;958;83.5;12.7;85;4.8989
"Bedford";"Pennsylvania";19455;3613;82.8;15.4;98;4.329
"Bedford";"Tennessee";11455;3384;74.9;22.1;81.8;4.0759
"Bedford";"Virginia";30578;9733;72.5;23.1;76.4;3.5593
"Bedford";"Virginia";30578;9733;72.5;23.1;76.4;5.7596
"Bedford";"Virginia";30578;9733;72.5;23.1;76.4;3.5593
"Bedford";"Virginia";30578;9733;72.5;23.1;76.4;5.7596
"Bedford";"Virginia";30578;9733;72.5;23.1;91.4;3.5593
"Bedford";"Virginia";30578;9733;72.5;23.1;91.4;5.7596
"Bedford";"Virginia";30578;9733;72.5;23.1;91.4;3.5593
"Bedford";"Virginia";30578;9733;72.5;23.1;91.4;5.7596
"Bee";"Texas";4743;3443;56.1;40.7;78.8;4.369
"Belknap";"New Hampshire";19315;13517;56;39.2;96.6;5.8654
"Bell";"Kentucky";7764;1720;79.9;17.7;95.6;2.6228
"Bell";"Texas";51780;37608;55.1;40;61.4;5.006
"Belmont";"Ohio";20729;8652;67.9;28.3;94;4.1534
"Beltrami";"Minnesota";10783;8688;50.6;40.8;75.1;4.3231
"Ben Hill";"Georgia";3734;2098;63;35.4;59.2;2.8547
"Benewah";"Idaho";3101;780;74;18.6;86.6;3.9049
"Bennett";"South Dakota";666;412;58;35.9;33.7;3.7607
"Bennington";"Vermont";5923;9538;36.2;58.4;96.6;5.0221
"Benson";"North Dakota";927;842;47.8;43.4;43.4;3.6491
"Bent";"Colorado";1166;581;61.6;30.7;79.2;3.734
"Benton";"Arkansas";60751;27894;62.9;28.9;82.6;5.4515
"Benton";"Indiana";2579;860;70.6;23.5;95.9;4.8711
"Benton";"Iowa";8226;4672;60.1;34.1;98.1;5.6669
"Benton";"Minnesota";12872;5640;64.6;28.3;94.5;5.22
"Benton";"Mississippi";2239;1704;56.2;42.7;60.5;3.106
"Benton";"Missouri";7212;2024;75.3;21.1;97.1;3.2951
"Benton";"Oregon";13030;28431;28.6;62.4;87.1;4.8604
"Benton";"Tennessee";4715;1474;74.6;23.3;95.4;3.3033
"Benton";"Washington";31573;17755;60;33.7;82.4;6.0485
"Benzie";"Michigan";5539;4108;54.2;40.2;96.1;4.7366
"Bergen";"New Jersey";163220;209251;42.5;54.5;71.9;8.3794
"Berkeley";"South Carolina";44223;30492;56;38.6;66.5;5.2427
"Berkeley";"West Virginia";28210;12287;66;28.7;87.8;5.3515
"Berks";"Pennsylvania";93094;75169;52.9;42.7;83.2;5.517
"Berkshire";"Massachusetts";16799;43540;26;67.5;92.5;4.845
"Bernalillo";"New Mexico";93874;141960;34.5;52.2;69.4;4.8801
"Berrien";"Georgia";5408;1041;82.4;15.9;84.7;3.2258
"Berrien";"Michigan";38646;29496;53.8;41;78.3;4.3633
"Bertie";"North Carolina";3476;5837;37.1;62.2;35.2;3.0768
"Bexar";"Texas";240161;319191;41;54.5;72.9;5.0112
"Bibb";"Alabama";6733;1874;77;21.4;75.8;3.6447
"Bibb";"Georgia";22589;34383;38.7;58.9;43.2;3.755
"Bienville";"Louisiana";3756;3129;53.6;44.7;55.3;3.1543
"Big Horn";"Montana";1833;2061;44;49.4;31.4;3.9966
"Big Horn";"Wyoming";4067;594;80.1;11.7;94.4;5.2589
"Big Stone";"Minnesota";1607;921;58.9;33.7;98.2;4.6313
"Billings";"North Dakota";492;58;83.1;9.8;98.6;5.7083
"Bingham";"Idaho";10907;2924;65.6;17.6;80.6;4.7941
"Black Hawk";"Iowa";27382;32006;43.3;50.6;85.6;4.5747
"Blackford";"Indiana";3349;1243;69.5;25.8;97.7;3.9225
"Bladen";"North Carolina";8511;7021;54.1;44.6;56.3;3.0164
"Blaine";"Idaho";3340;6416;31.1;59.8;84.9;6.4042
"Blaine";"Montana";1259;1187;47.6;44.9;48.2;3.7151
"Blaine";"Nebraska";273;30;87.2;9.6;99.2;4.2917
"Blaine";"Oklahoma";2884;711;76;18.7;79.7;4.4206
"Blair";"Pennsylvania";37224;13093;71.5;25.2;96.2;4.2992
"Blanco";"Texas";4212;1244;74.3;21.9;90.3;4.9487
"Bland";"Virginia";2572;453;82.3;14.5;95.5;4.2139
"Bleckley";"Georgia";3717;1094;75.3;22.2;70.1;3.6073
"Bledsoe";"Tennessee";3621;896;77.9;19.3;93.6;3.3443
"Blount";"Alabama";22808;2150;89.9;8.5;92.6;4.4145
